,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """
44,3,0,3,0,1,""" post a picture of that pussy get 200 likes """
74,3,1,2,0,1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7"" @AmJemieBenn"
85,3,2,1,0,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad"
90,3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
142,3,0,1,2,2,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc"
149,3,0,2,1,1,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot."""
177,3,0,3,0,1,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?"""
186,3,3,0,0,0,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers"
243,3,0,1,2,2,"""@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch"
258,3,0,3,0,1,"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
302,3,0,3,0,1,"""@_iwantfranny: He's a hoe , I can't"""
374,3,1,2,0,1,"""@morgandaylee: I'm feeling pretty fuckin ghetto"" Smh"
430,6,0,1,5,2,"""Bae"" sounds like such a ghetto word. Use something else"
458,3,0,3,0,1,"""Girls that I dated, its okay I ain't mad yo, unless you stabbed me in the heart, no love hoe"""
488,3,0,3,0,1,"""I heard you was looking for Candy Man, bitch"""
502,3,0,1,2,2,"""I'll slit your throat-neck"" http://t.co/ChFFSDeDdd"
557,3,1,2,0,1,"""Shake that Bear ... aka two rednecks having sex on a dead bear"""
574,3,2,1,0,0,"""These sour apple bitter bitches, I'm not fuckin wit em"""
700,3,2,0,1,0,#DTLA is trash because of non-Europeans are allowed to live there.
709,3,0,0,3,2,"#DerekJeter as a lifelong #Yankees man, I will miss you. #FirstBallot #Unanimous"
770,3,0,3,0,1,#RayRice is a bitch. #JustSaying
